states,actions
"[0.2270291566070749, 0.04601942363656919, 0.38561965034216605, 0.014044580205137436]",[0.5533586653869382]
"[0.2270291566070749, 0.04601942363656919, 0.30849572027373284, 0.011235664164132686]",[0.539189664014515]
"[0.2270291566070749, 0.04601942363656919, 0.2467965762189852, 0.008988531331311833]",[0.4838309545231194]
"[0.2270291566070749, 0.04295146206079803, 0.19743726097518888, -0.14620725372350307]",[0.35594875573328644]
"[0.2270291566070749, 0.04295146206079803, 0.15794980878014897, -0.11696580297879677]",[0.020493435558895934]
"[0.2270291566070749, 0.04295146206079803, 0.12635984702411918, -0.09357264238303742]",[-0.16674589887141156]
"[0.2239611950313036, 0.03988350048502687, -0.05231020116926821, -0.2282561926949711]",[0.11203917135741903]
"[0.2239611950313036, 0.03988350048502687, -0.041848160935414214, -0.18260495415594846]",[0.38666475591763394]
"[0.2239611950313036, 0.03988350048502687, -0.033478528748331016, -0.14608396332474172]",[0.3764268207921886]
"[0.2239611950313036, 0.03681553890925526, -0.026782822998665523, -0.2702652494483857]",[0.17248031342118852]
"[0.2239611950313036, 0.03681553890925526, -0.02142625839893242, -0.2162121995586972]",[-0.20765507353266577]
"[0.2239611950313036, 0.03681553890925526, -0.017141006719146645, -0.17296975964694639]",[-0.38606243802690043]
"[0.22089323345553233, 0.0337475773334841, -0.16711088416388264, -0.291773886506121]",[-0.08761593370365162]
"[0.22089323345553233, 0.0337475773334841, -0.13368870733110683, -0.2334191092049025]",[0.1921184525722952]
"[0.22089323345553233, 0.0337475773334841, -0.1069509658648844, -0.1867352873639163]",[0.1770338020708616]
"[0.22089323345553233, 0.03067961575771294, -0.08556077269190787, -0.3027863086796856]",[-0.030758367820347132]
"[0.21782527187976106, 0.03067961575771294, -0.22184669694209092, -0.24222904694374847]",[-0.28813611046113174]
"[0.21782527187976106, 0.03067961575771294, -0.17747735755367167, -0.19378323755501015]",[-0.17219716065263768]
"[0.21782527187976106, 0.03067961575771294, -0.14198188604293804, -0.155026590043974]",[0.45995262065958104]
"[0.21782527187976106, 0.027611654181941336, -0.11358550883435115, -0.2774193508237488]",[0.42831356667135356]
"[0.21475731030398976, 0.027611654181941336, -0.24426648585604482, -0.22193548065899904]",[-0.23892070621193434]
"[0.21475731030398976, 0.027611654181941336, -0.19541318868483692, -0.17754838452719923]",[-0.39742914801662965]
"[0.21475731030398976, 0.027611654181941336, -0.15633055094786918, -0.14203870762176507]",[0.2590875868310327]
"[0.21168934872821848, 0.027611654181941336, -0.27846251954685997, -0.11363096609738932]",[0.7914891990583275]
"[0.21168934872821848, 0.027611654181941336, -0.22277001563748833, -0.09090477287790577]",[0.9214542950262804]
"[0.21168934872821848, 0.024543692606170175, -0.1782160125099903, -0.22612189709087716]",[0.4780199835047596]
"[0.21168934872821848, 0.024543692606170175, -0.1425728100079926, -0.18089751767269036]",[-0.4284712038451527]
"[0.2086213871524472, 0.024543692606170175, -0.26745632679495834, -0.14471801413816365]",[-0.7928222262684181]
"[0.2086213871524472, 0.024543692606170175, -0.2139650614359656, -0.11577441131052524]",[0.040953315849384775]
"[0.2055534255766759, 0.021475731030399015, -0.3245701279373385, -0.24601760783698978]",[0.6460010756230884]
"[0.2055534255766759, 0.021475731030399015, -0.25965610234987224, -0.1968140862695975]",[0.2195298366041345]
"[0.2055534255766759, 0.021475731030399015, -0.2077248818798978, -0.15745126901566664]",[-0.3892039380115664]
"[0.20248546400090464, 0.021475731030399015, -0.3195779842924811, -0.125961015212539]",[-0.16725474215898073]
"[0.20248546400090464, 0.021475731030399015, -0.2556623874339845, -0.1007688121700312]",[0.5314082674116904]
"[0.19941750242513334, 0.021475731030399015, -0.3579279887357547, -0.08061504973602496]",[0.9332546471534264]
"[0.19941750242513334, 0.021475731030399015, -0.2863423909886045, -0.06449203978883133]",[0.8773328591305152]
"[0.19941750242513334, 0.021475731030399015, -0.2290739127908843, -0.05159363183108212]",[0.6050199344611201]
"[0.19634954084936207, 0.021475731030399015, -0.3366572090212703, -0.04127490546486001]",[0.38885707488471377]
"[0.19634954084936207, 0.018407769454627854, -0.2693257672170155, -0.18641800316044055]",[0.14961920375055737]
"[0.1932815792735908, 0.018407769454627854, -0.36885869256217596, -0.14913440252834675]",[-0.18404898195666852]
"[0.1932815792735908, 0.018407769454627854, -0.29508695404974183, -0.11930752202266603]",[-0.33803307951175476]
"[0.1902136176978195, 0.018407769454627854, -0.3894676420283574, -0.0954460176181442]",[0.17769853824597726]
"[0.1902136176978195, 0.015339807878856249, -0.3115741136226866, -0.2297548928831361]",[0.410549740148509]
"[0.18714565612204823, 0.015339807878856249, -0.4026573696867146, -0.1838039143065089]",[-0.06631280702030695]
"[0.18714565612204823, 0.015339807878856249, -0.32212589574937134, -0.14704313144522985]",[-0.4608719132919755]
"[0.18407769454627693, 0.015339807878856249, -0.41109879538806027, -0.11763450515616114]",[0.0029648974788137883]
"[0.18407769454627693, 0.015339807878856249, -0.32887903631044857, -0.09410760412492891]",[0.6339151743237718]
"[0.18100973297050565, 0.015339807878856249, -0.4165013078369224, -0.07528608329994313]",[0.7930461192808145]
"[0.18100973297050565, 0.012271846303085088, -0.3332010462695383, -0.21362694542852978]",[0.30455221978209635]
"[0.17794177139473438, 0.012271846303085088, -0.41995891580419453, -0.17090155634281246]",[-0.39410077083848544]
"[0.17487380981896308, 0.012271846303085088, -0.48936521143192024, -0.13672124507425565]",[-0.5098622967166218]
"[0.17487380981896308, 0.012271846303085088, -0.3914921691455362, -0.10937699605938178]",[0.26733718642123216]
"[0.1718058482431918, 0.012271846303085088, -0.4665918141049943, -0.0875015968475168]",[0.8533923687250806]
"[0.1718058482431918, 0.009203884727313927, -0.37327345128399436, -0.2233993562665546]",[0.4033593541674363]
"[0.16873788666742054, 0.009203884727313927, -0.4520168398157587, -0.17871948501326074]",[-0.44493014297638117]
"[0.16566992509164924, 0.009203884727313927, -0.515011550641173, -0.14297558801061427]",[-0.6392555728054434]
"[0.16566992509164924, 0.009203884727313927, -0.41200924051293875, -0.11438047040849142]",[0.15787362318281106]
"[0.16260196351587797, 0.006135923151542766, -0.4830054711989131, -0.24490245511535136]",[0.44550127429842545]
"[0.16260196351587797, 0.006135923151542766, -0.3864043769591312, -0.19592196409229246]",[-0.2528300698046741]
"[0.1595340019401067, 0.006135923151542766, -0.4625215803558689, -0.1567375712738226]",[-0.7640262879702995]
"[0.1564660403643354, 0.006135923151542766, -0.5234153430732595, -0.12539005701907513]",[-0.1668408320761231]
