states,actions
"[0.20248546400090464, -0.024543692606170175, -1.5607469145747181, -0.4846528196622444]",[-0.5722827210606698]
"[0.19634954084936207, -0.024543692606170175, -1.5553936892369045, -0.38772225572978414]",[-0.6170102496258558]
"[0.1902136176978195, -0.027611654181941336, -1.5511111089666532, -0.46357588337238553]",[-0.4291008867683628]
"[0.18407769454627693, -0.027611654181941336, -1.5476850447504518, -0.37086070669789706]",[-0.2537272294481152]
"[0.18100973297050565, -0.027611654181941336, -1.3915461145889267, -0.29668856535835175]",[-0.15785256451288976]
"[0.17487380981896308, -0.03067961575771294, -1.4200330492482696, -0.390748931075251]",[-0.24394372769000405]
"[0.16873788666742054, -0.03067961575771294, -1.442822596975743, -0.3125991448601724]",[-0.48235715871662266]
"[0.16566992509164924, -0.03067961575771294, -1.3076561563691609, -0.2500793158881436]",[-0.5033463437452527]
"[0.1595340019401067, -0.0337475773334841, -1.3529210826724558, -0.3534615314991072]",[-0.3841302144862051]
"[0.15339807878856412, -0.0337475773334841, -1.3891330237150932, -0.2827692251992744]",[-0.47803536747550157]
"[0.15033011721279282, -0.0337475773334841, -1.264704497760639, -0.22621538015943088]",[-0.5087835870008601]
"[0.14419419406125028, -0.03681553890925526, -1.318559755785638, -0.33437038291609156]",[-0.4445942548451681]
"[0.14112623248547898, -0.03681553890925526, -1.2082458834170762, -0.26749630633287325]",[-0.6806570773824655]
"[0.1380582709097077, -0.03681553890925526, -1.1199947855222243, -0.2139970450662929]",[-0.992940714319423]
"[0.13192234775816514, -0.03681553890925526, -1.2027919859949083, -0.17119763605305138]",[-0.7035472221164238]
"[0.12885438618239387, -0.03681553890925526, -1.1156316675844895, -0.13695810884243542]",[-0.07319009038817294]
"[0.12578642460662257, -0.03681553890925526, -1.0459034128561573, -0.10956648707394834]",[0.16190584014855597]
"[0.1227184630308513, -0.03681553890925526, -0.9901208090734901, -0.08765318965916435]",[-0.17271813373320868]
"[0.11965050145508001, -0.03681553890925526, -0.9454947260473565, -0.07012255172733717]",[-0.5361290842242293]
